minutes,tripId,route,DAY,expressArrivalTime,destArrivalTime,decision
956,093400_1..S02R,local,Tuesday,1458676893,1458677583,True
956,093900_1..S02R,local,Tuesday,1458677107,1458677797,True
956,094400_1..S02R,local,Tuesday,1458677433,1458678123,True
956,094900_1..S02R,local,Tuesday,1458677584,1458678274,True
956,095400_1..S07R,local,Tuesday,1458677891,1458678581,True
956,095650_1..S02R,local,Tuesday,1458678131,1458678821,True
956,090550_2..S01R,express,Tuesday,1458676876,1458677296,False
956,091350_2..S01R,express,Tuesday,1458677005,1458677425,False
956,092300_2..S01R,express,Tuesday,1458677414,1458677834,False
956,092950_2..S01R,express,Tuesday,1458677848,1458678298,False
956,093800_2..S01R,express,Tuesday,1458678257,1458678707,False
956,094450_2..S01R,express,Tuesday,1458678470,1458678920,False
956,095250_2..S01R,express,Tuesday,1458678967,1458679417,False
956,094400_3..S01R,express,Tuesday,1458676546,1458677162,False
956,095300_3..S01R,express,Tuesday,1458677160,1458677580,False
957,093400_1..S02R,local,Tuesday,1458676860,1458677550,False
957,093900_1..S02R,local,Tuesday,1458677122,1458677812,False
957,094400_1..S02R,local,Tuesday,1458677431,1458678121,False
957,094900_1..S02R,local,Tuesday,1458677723,1458678413,False
957,095400_1..S07R,local,Tuesday,1458677901,1458678591,False
957,095650_1..S02R,local,Tuesday,1458678138,1458678828,False
957,090550_2..S01R,express,Tuesday,1458676659,1458677315,False
957,091350_2..S01R,express,Tuesday,1458677002,1458677422,False
957,092300_2..S01R,express,Tuesday,1458677472,1458677892,False
957,092950_2..S01R,express,Tuesday,1458677842,1458678292,False
957,093800_2..S01R,express,Tuesday,1458678263,1458678713,False
957,094450_2..S01R,express,Tuesday,1458678467,1458678917,False
957,095250_2..S01R,express,Tuesday,1458679005,1458679455,False
957,094400_3..S01R,express,Tuesday,1458676662,1458677171,False
957,095300_3..S01R,express,Tuesday,1458677161,1458677581,False
958,093400_1..S02R,local,Tuesday,1458676879,1458677569,True
958,093900_1..S02R,local,Tuesday,1458677110,1458677800,True
958,094400_1..S02R,local,Tuesday,1458677421,1458678111,True
958,094900_1..S02R,local,Tuesday,1458677703,1458678393,True
958,095400_1..S07R,local,Tuesday,1458677915,1458678605,True
